run,drag_coarse,drag_true,drag_pred,lift_coarse,lift_true,lift_pred,body_height_mm,body_width_mm,frontal_area_m2,Cd_true_file,Cl_true_file,Cd_coarse_file,Cl_coarse_file,Cd_pred_calc,Cd_true_calc,Cl_pred_calc,Cl_true_calc,Cd_pred_error_%,Cl_pred_error_%,Cd_coarse_error_%,Cl_coarse_error_%,Cd_fine_consistency_%
1,0.012532,0.013345,0.012641,-0.005954,-0.005284,-0.000443,253.38677354709415,369.3386773547094,0.09358553580106102,0.2854115695,-0.1131136459,0.2669482789,-0.1273544823,0.2701485842186455,0.2851936442051914,-0.00946727496312475,-0.11292343319447219,-5.347710784146927,-91.63029810612377,-6.469005665168039,12.589848277536586,0.07635475155769032
10,0.011677,0.010558,0.010103,0.009211,0.008197,0.008211,288.0360721442886,302.8056112224449,0.08721893887976355,0.2425522077,0.1909898418,0.2494105949,0.1985569126,0.23166986734217393,0.24210338111438906,0.18828479468935863,0.1879637634963674,-4.486597116974444,-1.416330358278444,2.8275921563586786,3.962027890427831,0.18504329021241647
11,0.016981,0.01836,0.018236,-0.007957,-0.006651,-0.003017,302.23446893787576,428.25651302605206,0.1294338797836153,0.2836490518,-0.1025618276,0.3623867809,-0.170576443,0.28178093757965905,0.2836969737860573,-0.04661839705405963,-0.10277061942543937,-0.6586005518037639,-54.54605466287573,27.75885503594692,66.31572095737498,0.01689481623618729
12,0.019037,0.021419,0.018897,0.007781,0.022281,0.025052,299.3687374749499,344.8897795591182,0.10324921787462701,0.4152757189,0.4316263331,0.4070544104,0.1659970857,0.3660463563597385,0.41489902666398043,0.4852724411030412,0.4315964897100774,-11.854620990281429,12.428831118284059,-1.9797228987471074,-61.54148322976822,0.0907089480255064
13,0.02225,0.020044,0.017999,0.018448,0.023413,0.023631,304.188376753507,346.4929859719439,0.10539913895928128,0.381634345,0.4438552952,0.4764558124,0.3957800689,0.34153979202721063,0.3803446631142513,0.4484097352850166,0.4442730791006768,-10.506012757523004,1.0261092149332993,24.846156705314357,-10.831283713386235,0.33793653601818346
14,0.018939,0.019751,0.017988,0.017793,0.026128,0.026481,272.6653306613226,337.6753507014028,0.09207236115517609,0.4291969022,0.5677721384,0.4038450826,0.3798412995,0.39073615087775465,0.42903211674374764,0.5752214816207373,0.5675535996294181,-8.961097138656225,1.3120304285676647,-5.906803956424267,-33.09969373093845,0.0383939062485549
15,0.016368,0.016589,0.015122,-0.007645,-0.00542,-0.003027,264.9799599198397,437.875751503006,0.11602829908313621,0.2862238727,-0.0929725364,0.3494888252,-0.162745316,0.26066054780592507,0.2859474823140121,-0.05217692621402826,-0.09342548400397527,-8.931234370121402,-43.87920537141734,22.103310916455232,75.0466560359431,0.09656440721754934
16,0.014161,0.015494,0.015185,-0.004569,-0.001691,0.002241,278.1362725450901,377.3547094188377,0.10495603230509111,0.2956487711,-0.0321619253,0.3032553244,-0.0978972696,0.28935926152123453,0.2952474414231155,0.0427035959874275,-0.03222301687404726,-2.127358607094664,-232.77686453499564,2.5728344047224896,204.38871021194743,0.1357454236631186
17,0.016346,0.016582,0.015246,-0.010157,-0.009807,-0.004192,267.71543086172346,439.4789579158317,0.11765529857309812,0.2820260398,-0.1663233277,0.3485847776,-0.2173117986,0.2591638487157092,0.2818742581269769,-0.07125900917068433,-0.16670732417387907,-8.106411415237986,-57.15633509977907,23.600210054078836,30.65623542114832,0.053818318737778904
18,0.022543,0.021798,0.01989,0.020158,0.028101,0.028978,255.34068136272543,417.4348697394789,0.10658810406383909,0.4101060185,0.5273967257,0.4819843805,0.4313336922,0.37321238002483337,0.4090137486064011,0.5437379762875627,0.5272821061376493,-8.996122175945738,3.0984740312662034,17.526775701293438,-18.214567671518626,0.2663384208780872
19,0.016565,0.016954,0.016061,-0.008034,-0.006844,-0.00322,265.1102204408818,459.5190380761523,0.1218231934811507,0.2782625355,-0.1119761417,0.3532437698,-0.1716564477,0.26367721188469856,0.2783378027702621,-0.052863496810206675,-0.11235955657424052,-5.241569293219301,-52.79039266075492,26.94621975080795,53.29734092811664,0.027049013309260406
2,0.017949,0.017114,0.016257,0.008714,0.008695,0.009884,304.3186372745491,431.4629258517034,0.1313022096296802,0.2605208374,0.128657391,0.3832635151,0.1878385309,0.24762721123811443,0.26068106619481396,0.1505534450315263,0.1324425540822664,-4.9491726997978525,17.018885476642595,47.1143417643567,45.999020685877255,0.06150325494615384
20,0.01219,0.01203,0.011003,0.002502,0.011357,0.011483,269.7995991983968,318.436873747495,0.08591414090706462,0.2836266735,0.2722245545,0.2608837788,0.05389759289,0.2561394406981782,0.2800470300462677,0.26731338703418883,0.26438022612098605,-9.691342659216362,-1.8040868777732397,-8.018602206678548,-80.20105387297089,1.2620968999702686
21,0.016732,0.013793,0.011775,0.01643,0.0164,0.017657,297.28456913827654,326.85370741482967,0.09716856358006594,0.2844960572,0.3403868238,0.3590371846,0.3539914959,0.24236233543367175,0.28389840277168865,0.36343029781336234,0.3375577325785322,-14.809949276980081,6.769790251018029,26.201110881335627,3.996826888926125,0.21007476665702413
22,0.017396,0.018435,0.01774,-0.004552,0.000105,0.002655,258.2064128256513,481.9639278557114,0.12444617692298424,0.2959853444,0.0022745069,0.3710447604,-0.09806587865,0.2851031737355615,0.2962726610944237,0.042669048831336855,0.001687476507454,-3.6765910442282452,1775.9691971625523,25.3591663979698,-4411.522583202539,0.09707125702662565
