run,drag_coarse,drag_true,drag_pred,lift_coarse,lift_true,lift_pred,body_height_mm,body_width_mm,frontal_area_m2,Cd_true_file,Cl_true_file,Cd_coarse_file,Cl_coarse_file,Cd_pred_calc,Cd_true_calc,Cl_pred_calc,Cl_true_calc,Cd_pred_error_%,Cl_pred_error_%,Cd_coarse_error_%,Cl_coarse_error_%,Cd_fine_consistency_%
1,0.012532,0.013345,0.012233,-0.005954,-0.005284,-0.001363,253.38677354709415,369.3386773547094,0.09358553580106102,0.2854115695,-0.1131136459,0.2669482789,-0.1273544823,0.2614292880900792,0.2851936442051914,-0.029128432900088118,-0.11292343319447219,-8.402701212124764,-74.24852442132438,-6.469005665168039,12.589848277536586,0.07635475155769032
10,0.011677,0.010558,0.009736,0.009211,0.008197,0.006711,288.0360721442886,302.8056112224449,0.08721893887976355,0.2425522077,0.1909898418,0.2494105949,0.1985569126,0.22325426392590375,0.24210338111438906,0.15388859544029787,0.1879637634963674,-7.956202071747311,-19.425769459798637,2.8275921563586786,3.962027890427831,0.18504329021241647
11,0.016981,0.01836,0.018041,-0.007957,-0.006651,-0.003645,302.23446893787576,428.25651302605206,0.1294338797836153,0.2836490518,-0.1025618276,0.3623867809,-0.170576443,0.278767816126049,0.2836969737860573,-0.05632219332517313,-0.10277061942543937,-1.7208714934794611,-45.08464343592379,27.75885503594692,66.31572095737498,0.01689481623618729
12,0.019037,0.021419,0.018521,0.007781,0.022281,0.023414,299.3687374749499,344.8897795591182,0.10324921787462701,0.4152757189,0.4316263331,0.4070544104,0.1659970857,0.3587630082097008,0.41489902666398043,0.4535433871941005,0.4315964897100774,-13.608479407366376,5.077784280835969,-1.9797228987471074,-61.54148322976822,0.0907089480255064
13,0.02225,0.020044,0.017739,0.018448,0.023413,0.02342,304.188376753507,346.4929859719439,0.10539913895928128,0.381634345,0.4438552952,0.4764558124,0.3957800689,0.3366061653853375,0.3803446631142513,0.4444059075102657,0.4442730791006768,-11.798775504511392,0.1240522116600194,24.846156705314357,-10.831283713386235,0.33793653601818346
14,0.018939,0.019751,0.017552,0.017793,0.026128,0.024836,272.6653306613226,337.6753507014028,0.09207236115517609,0.4291969022,0.5677721384,0.4038450826,0.3798412995,0.38126533912643706,0.42903211674374764,0.5394887171002843,0.5675535996294181,-11.167732765048589,-4.981473972889758,-5.906803956424267,-33.09969373093845,0.0383939062485549
15,0.016368,0.016589,0.015284,-0.007645,-0.00542,-0.004584,264.9799599198397,437.875751503006,0.11602829908313621,0.2862238727,-0.0929725364,0.3494888252,-0.162745316,0.26345297002154205,0.2859474823140121,-0.07901520639745806,-0.09342548400397527,-7.955626644156554,-15.012314972770758,22.103310916455232,75.0466560359431,0.09656440721754934
16,0.014161,0.015494,0.014532,-0.004569,-0.001691,0.001301,278.1362725450901,377.3547094188377,0.10495603230509111,0.2956487711,-0.0321619253,0.3032553244,-0.0978972696,0.276915955773894,0.2952474414231155,0.024791333502741267,-0.03222301687404726,-6.33617222774446,-177.08286513165078,2.5728344047224896,204.38871021194743,0.1357454236631186
17,0.016346,0.016582,0.015087,-0.010157,-0.009807,-0.005695,267.71543086172346,439.4789579158317,0.11765529857309812,0.2820260398,-0.1663233277,0.3485847776,-0.2173117986,0.25646103801481734,0.2818742581269769,-0.0968082197583605,-0.16670732417387907,-9.064766431962171,-41.79516421594509,23.600210054078836,30.65623542114832,0.053818318737778904
18,0.022543,0.021798,0.019808,0.020158,0.028101,0.027099,255.34068136272543,417.4348697394789,0.10658810406383909,0.4101060185,0.5273967257,0.4819843805,0.4313336922,0.3716737467839064,0.4090137486064011,0.5084807584863228,0.5272821061376493,-9.371301561645723,-3.586667548716859,17.526775701293438,-18.214567671518626,0.2663384208780872
